Sample_ID,Day,VBat_Min_V,VBat_Max_V,Ah_Charge_Ah,Ah_Load_Ah,VPv_Max_V,IPv_Max_A,SOC_Pct,Temp_Max_C,Temp_Min_C,Night_Min,Fault_Label
Sample_1,1,13.0,13.4,14.1,17.1,8.5,3.0,66.0,46,34,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,2,13.0,14.1,20.6,16.9,9.0,3.5,59.4,48,35,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,3,13.0,14.1,16.6,16.3,9.0,3.5,66.0,47,33,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,4,13.0,14.1,16.4,16.1,9.0,3.5,66.0,50,33,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,5,13.0,14.1,16.7,16.4,9.0,3.5,66.0,51,33,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,6,13.0,14.1,16.9,16.5,9.0,3.5,66.0,49,33,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,7,13.0,14.1,17.1,16.8,9.0,3.0,66.0,49,34,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,8,13.0,14.1,16.9,16.6,8.5,3.0,66.0,49,33,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,9,13.0,14.1,16.6,16.3,9.0,3.0,66.0,51,32,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,10,13.0,14.1,16.7,16.4,8.5,3.0,66.0,52,32,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,11,13.0,13.4,15.5,16.5,8.5,3.0,66.0,54,33,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,12,13.0,14.1,18.3,16.7,8.5,3.0,66.0,49,32,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,13,13.0,14.1,17.0,16.7,9.0,3.0,66.0,50,33,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,14,13.0,14.1,16.9,16.6,9.0,3.0,66.0,51,33,590,F-06a Battery End of Life / Accelerated Degradation
Sample_1,15,13.0,14.1,17.9,17.6,8.5,3.5,66.0,50,35,600,F-06a Battery End of Life / Accelerated Degradation
Sample_1,16,13.0,14.1,16.6,16.3,9.0,3.0,66.0,51,34,600,F-06a Battery End of Life / Accelerated Degradation
Sample_1,17,13.0,14.1,16.7,16.4,9.0,3.0,66.0,51,35,600,F-06a Battery End of Life / Accelerated Degradation
Sample_1,18,13.0,14.1,16.8,16.5,9.0,2.5,66.0,51,35,600,F-06a Battery End of Life / Accelerated Degradation
Sample_1,19,13.0,13.4,12.8,16.6,8.5,3.0,66.0,51,34,600,F-06a Battery End of Life / Accelerated Degradation
Sample_1,20,13.0,13.4,17.6,16.7,8.5,2.5,59.4,50,34,600,F-06a Battery End of Life / Accelerated Degradation
Sample_1,21,13.0,13.2,0.4,16.7,7.5,0.5,59.4,44,34,600,F-06a Battery End of Life / Accelerated Degradation
Sample_1,22,12.9,13.1,0.0,11.7,6.0,0.0,39.6,44,29,620,F-06a Battery End of Life / Accelerated Degradation
Sample_1,23,12.9,13.3,8.7,8.0,9.0,2.5,26.4,43,28,630,F-06a Battery End of Life / Accelerated Degradation
Sample_1,24,12.9,13.1,0.2,7.5,7.5,0.5,26.4,45,30,620,F-06a Battery End of Life / Accelerated Degradation
Sample_1,25,12.9,13.3,12.9,1.1,9.0,2.5,26.4,46,33,620,F-06a Battery End of Life / Accelerated Degradation
Sample_1,26,13.0,13.4,24.7,8.9,9.0,3.0,33.0,49,31,610,F-06a Battery End of Life / Accelerated Degradation
Sample_1,27,12.9,13.4,24.4,14.0,9.0,3.0,52.8,49,32,610,F-06a Battery End of Life / Accelerated Degradation
Sample_1,28,13.0,14.1,19.1,16.6,9.0,3.0,66.0,50,34,610,F-06a Battery End of Life / Accelerated Degradation
